trial_id,experiment_id,source_id,country,state,region,district,latitude,longitude,crop,crop_type,season,year,treatment,product_name,product_category,bio_applied,bio_product_type,bio_dosage_l_ha,control_group,treated_group,soil_organic_carbon,soil_soc,soil_ph,nitrogen_kgha,phosphorus_kgha,potassium_kgha,clay_content_pct,sulphur_ppm,zinc_ppm,boron_ppm,avg_temperature_c,heat_stress_days,cumulative_rainfall_mm,growing_degree_days,humidity_pct,wind_speed_kmh,solar_rad_mj,peak_ndvi,yield,observed_yield_q_acre,baseline_yield,treatment_yield,yield_difference,yield_percentage_change,bio_attributed_lift_q,net_profit_rs,field_id,trial_design,replication_count,source,source_url
TR-2025-TE-00001,EXP-2025-TE-MUS-0001,ICAR_SYNGENTA_TRIALS,India,Telangana,Telangana & Andhra (Krishna Basin),Warangal,17.9689,79.5941,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2025,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.57,0.57,7.81,216.8,17.8,353.2,37.4,12.4,0.96,0.49,27.1,2,231.6,1761.5,52.8,8.3,16.6,0.631,5.99,5.99,5.99,5.99,0.0,0.0,0.0,0.0,IND_FIELD_0001,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-TE-00002,EXP-2025-TE-MUS-0001,ICAR_SYNGENTA_TRIALS,India,Telangana,Telangana & Andhra (Krishna Basin),Warangal,17.9689,79.5941,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2025,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,1.5,0,1,0.57,0.57,7.81,216.8,17.8,353.2,37.4,12.4,0.96,0.49,27.1,2,231.6,1761.5,52.8,8.3,16.6,0.631,6.31,6.31,5.99,6.31,0.32,5.34,0.32,122.0,IND_FIELD_0002,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-TE-00003,EXP-2023-TE-MUS-0002,ICAR_SYNGENTA_TRIALS,India,Telangana,Telangana & Andhra (Krishna Basin),Warangal,17.9689,79.5941,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2023,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.57,0.57,7.25,207.0,16.0,327.9,34.0,11.8,0.65,0.53,26.9,3,149.4,1748.5,92.0,12.8,19.0,0.742,6.25,6.25,6.25,6.25,0.0,0.0,0.0,0.0,IND_FIELD_0003,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-TE-00004,EXP-2023-TE-MUS-0002,ICAR_SYNGENTA_TRIALS,India,Telangana,Telangana & Andhra (Krishna Basin),Warangal,17.9689,79.5941,Mustard / Rapeseed,Mustard / Rapeseed,Rabi,2023,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,1.5,0,1,0.57,0.57,7.25,207.0,16.0,327.9,34.0,11.8,0.65,0.53,26.9,3,149.4,1748.5,92.0,12.8,19.0,0.742,6.29,6.29,6.25,6.29,0.04,0.64,0.04,-1166.0,IND_FIELD_0004,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2024-TA-00005,EXP-2024-TA-COT-0003,ICAR_SYNGENTA_TRIALS,India,Tamil Nadu,Tamil Nadu & Cauvery Delta,Coimbatore,11.0168,76.9558,Cotton,Cotton,Kharif,2024,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.39,0.39,7.25,190.4,20.7,308.3,38.2,17.1,1.0,0.53,26.6,4,569.4,1729.0,56.0,11.8,21.9,0.675,11.23,11.23,11.23,11.23,0.0,0.0,0.0,0.0,IND_FIELD_0005,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2024-TA-00006,EXP-2024-TA-COT-0003,ICAR_SYNGENTA_TRIALS,India,Tamil Nadu,Tamil Nadu & Cauvery Delta,Coimbatore,11.0168,76.9558,Cotton,Cotton,Kharif,2024,Syngenta Isabion,Syngenta Isabion,Biostimulant,1,Syngenta Isabion,1.5,0,1,0.39,0.39,7.25,190.4,20.7,308.3,38.2,17.1,1.0,0.53,26.6,4,569.4,1729.0,56.0,11.8,21.9,0.675,12.6,12.6,11.23,12.6,1.37,12.2,1.37,4952.0,IND_FIELD_0006,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-GU-00007,EXP-2023-GU-SOY-0004,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Soybean,Soybean,Kharif,2023,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.4,0.4,7.89,249.8,8.0,392.9,32.6,13.0,0.87,0.31,27.8,2,715.7,1807.0,65.9,8.3,19.8,0.761,10.59,10.59,10.59,10.59,0.0,0.0,0.0,0.0,IND_FIELD_0007,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2023-GU-00008,EXP-2023-GU-SOY-0004,ICAR_SYNGENTA_TRIALS,India,Gujarat,Gujarat & Saurashtra Plain,Rajkot,22.3039,70.8022,Soybean,Soybean,Kharif,2023,Syngenta Quantis,Syngenta Quantis,Biostimulant,1,Syngenta Quantis,2.0,0,1,0.4,0.4,7.89,249.8,8.0,392.9,32.6,13.0,0.87,0.31,27.8,2,715.7,1807.0,65.9,8.3,19.8,0.761,11.53,11.53,10.59,11.53,0.94,8.88,0.94,2524.0,IND_FIELD_0008,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-TE-00009,EXP-2025-TE-SUG-0005,ICAR_SYNGENTA_TRIALS,India,Telangana,Telangana & Andhra (Krishna Basin),Warangal,17.9689,79.5941,Sugarcane,Sugarcane,Annual,2025,Control (Untreated Check),Untreated Check,Untreated Check,0,Untreated,0.0,1,0,0.65,0.65,7.27,214.2,22.4,279.7,29.4,18.5,0.79,0.23,29.5,1,195.3,1917.5,66.3,10.1,13.4,0.614,345.09,345.09,345.09,345.09,0.0,0.0,0.0,0.0,IND_FIELD_0009,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
TR-2025-TE-00010,EXP-2025-TE-SUG-0005,ICAR_SYNGENTA_TRIALS,India,Telangana,Telangana & Andhra (Krishna Basin),Warangal,17.9689,79.5941,Sugarcane,Sugarcane,Annual,2025,Syngenta CropBio+,Syngenta CropBio+,Biostimulant,1,Syngenta CropBio+,3.0,0,1,0.65,0.65,7.27,214.2,22.4,279.7,29.4,18.5,0.79,0.23,29.5,1,195.3,1917.5,66.3,10.1,13.4,0.614,373.83,373.83,345.09,373.83,28.74,8.33,28.74,129504.0,IND_FIELD_0010,RCBD - 4 Replications,4,ICAR AICRP & Syngenta Multi-Locational Trials,https://icar.org.in
